,Number of doors,Car length,Car width,Number of cylinders,Horse power,Price,convertible,hatchback,sedan,wagon,4wd,fwd,rwd,diesel,gas,audi fox,bmw x1,buick century luxus (sw),buick skylark,mazda glc deluxe,mitsubishi g4,peugeot 304,peugeot 504,porsche cayenne,porsche macan,renault 5 gtl,subaru,subaru trezia,toyota corolla 1200,toyota corona mark ii,toyota mark ii,volkswagen 411 (sw),volkswagen super beetle,volvo 145e (sw)
0,2,177.3,66.3,5,110,15250,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,176.8,64.8,6,121,20970,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,177.8,66.5,4,120,10795,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,190.9,70.3,5,123,28248,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,180.3,70.5,8,155,35056,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,157.3,63.8,4,116,9959,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,4,186.7,68.4,4,120,11900,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,4,186.7,68.4,4,152,13200,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,2,168.9,68.3,4,143,22018,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9,2,66.5,55.2,8,90,9295,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10,4,171.7,65.5,4,68,9495,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,4,171.7,65.5,4,100,9995,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12,2,176.8,66.6,4,90,9895,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,2,156.9,63.4,4,69,5118,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14,4,173.5,65.4,4,82,7463,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15,2,158.7,63.6,4,92,5348,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16,4,158.7,63.6,4,92,6488,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
17,4,166.3,64.4,4,98,6938,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18,4,188.8,67.2,4,141,12940,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
